TL,TM,TR,ML,MM,MR,BL,BM,BR,class
x,x,o,b,b,o,b,b,b,O
x,x,o,b,b,o,x,b,b,O
x,x,o,o,b,o,x,b,b,O
x,x,o,o,b,o,x,x,b,O
x,x,o,o,b,o,x,x,o,O
b,b,x,b,b,b,b,b,b,X
b,b,x,o,b,b,b,b,b,X
b,b,x,o,b,b,x,b,b,X
b,b,x,o,b,b,x,b,o,X
b,b,x,o,x,b,x,b,o,X
b,x,b,b,b,b,b,b,b,X
b,x,o,b,b,b,b,b,b,X
b,x,o,x,b,b,b,b,b,X
b,x,o,x,b,o,b,b,b,X
x,x,o,x,b,o,b,b,b,X
x,x,o,x,b,o,o,b,b,X
x,x,o,x,b,o,o,b,x,X
x,x,o,x,b,o,o,o,x,X
x,x,o,x,x,o,o,o,x,X
b,b,b,b,b,b,b,b,x,X
b,b,b,b,b,b,o,b,x,X
b,b,b,b,x,b,o,b,x,X
b,b,o,b,x,b,o,b,x,X
b,x,o,b,x,b,o,b,x,X
b,x,o,o,x,b,o,b,x,X
x,x,o,o,x,b,o,b,x,X
b,b,b,b,x,b,b,b,b,X
b,o,b,b,x,b,b,b,b,X
b,o,b,b,x,b,b,b,x,X
b,o,b,b,x,b,b,o,x,X
b,o,b,b,x,x,b,o,x,X
o,o,b,b,x,x,b,o,x,X
o,o,b,x,x,x,b,o,x,X
b,b,b,b,b,b,b,x,b,X
b,b,b,b,b,b,b,x,o,X
b,b,b,b,b,b,x,x,o,X
b,b,b,o,b,b,x,x,o,X
x,b,b,o,b,b,x,x,o,X
x,o,b,o,b,b,x,x,o,X
x,o,x,o,b,b,x,x,o,X
x,o,x,o,b,o,x,x,o,X
x,o,x,o,x,o,x,x,o,X
b,b,b,b,b,b,b,b,x,X
b,b,b,b,b,b,b,o,x,X
x,b,b,b,b,b,b,o,x,X
x,b,b,b,b,b,o,o,x,X
x,x,b,b,b,b,o,o,x,X
x,x,b,b,b,o,o,o,x,X
x,x,b,x,b,o,o,o,x,X
x,x,o,x,b,o,o,o,x,X
x,x,o,x,x,o,o,o,x,X
b,x,b,b,b,b,b,b,b,O
b,x,b,b,b,b,o,b,b,O
b,x,b,b,b,b,o,b,x,O
b,x,o,b,b,b,o,b,x,O
b,x,o,b,b,x,o,b,x,O
b,x,o,b,o,x,o,b,x,O
b,b,x,b,b,b,b,b,b,O
b,b,x,b,b,b,b,b,o,O
b,b,x,b,b,b,x,b,o,O
b,b,x,b,o,b,x,b,o,O
b,b,x,b,o,b,x,x,o,O
o,b,x,b,o,b,x,x,o,O
b,b,b,b,b,b,b,x,b,X
b,b,b,b,b,b,o,x,b,X
x,b,b,b,b,b,o,x,b,X
x,o,b,b,b,b,o,x,b,X
x,o,b,b,b,b,o,x,x,X
x,o,b,b,o,b,o,x,x,X
x,o,x,b,o,b,o,x,x,X
x,o,x,o,o,b,o,x,x,X
x,o,x,o,o,x,o,x,x,X
x,b,b,b,b,b,b,b,b,O
x,b,b,b,b,b,b,o,b,O
x,b,b,b,x,b,b,o,b,O
x,b,b,b,x,b,b,o,o,O
x,b,b,x,x,b,b,o,o,O
x,b,b,x,x,b,o,o,o,O
b,x,b,b,b,b,b,b,b,X
b,x,o,b,b,b,b,b,b,X
b,x,o,b,x,b,b,b,b,X
b,x,o,b,x,b,o,b,b,X
b,x,o,b,x,b,o,x,b,X
b,b,b,x,b,b,b,b,b,X
b,b,b,x,b,b,b,b,o,X
x,b,b,x,b,b,b,b,o,X
x,b,b,x,o,b,b,b,o,X
x,b,b,x,o,b,x,b,o,X
b,b,b,b,x,b,b,b,b,D
o,b,b,b,x,b,b,b,b,D
o,b,b,b,x,b,b,b,x,D
o,o,b,b,x,b,b,b,x,D
o,o,x,b,x,b,b,b,x,D
o,o,x,b,x,o,b,b,x,D
o,o,x,b,x,o,b,x,x,D
o,o,x,b,x,o,o,x,x,D
o,o,x,x,x,o,o,x,x,D
b,b,b,b,b,b,b,x,b,O
b,o,b,b,b,b,b,x,b,O
b,o,b,b,b,b,x,x,b,O
b,o,b,o,b,b,x,x,b,O
b,o,x,o,b,b,x,x,b,O
b,o,x,o,o,b,x,x,b,O
x,o,x,o,o,b,x,x,b,O
x,o,x,o,o,o,x,x,b,O
b,b,b,b,b,b,b,x,b,X
b,o,b,b,b,b,b,x,b,X
b,o,b,x,b,b,b,x,b,X
b,o,b,x,b,b,o,x,b,X
b,o,b,x,x,b,o,x,b,X
b,o,b,x,x,b,o,x,o,X
b,o,b,x,x,x,o,x,o,X
b,b,b,b,x,b,b,b,b,X
b,b,b,b,x,b,b,o,b,X
b,b,x,b,x,b,b,o,b,X
b,b,x,b,x,b,o,o,b,X
b,b,x,x,x,b,o,o,b,X
b,b,x,x,x,o,o,o,b,X
b,b,x,x,x,o,o,o,x,X
b,o,x,x,x,o,o,o,x,X
x,o,x,x,x,o,o,o,x,X
b,b,b,x,b,b,b,b,b,X
b,b,b,x,b,o,b,b,b,X
b,b,x,x,b,o,b,b,b,X
o,b,x,x,b,o,b,b,b,X
o,b,x,x,b,o,x,b,b,X
o,o,x,x,b,o,x,b,b,X
o,o,x,x,x,o,x,b,b,X
b,b,b,x,b,b,b,b,b,D
o,b,b,x,b,b,b,b,b,D
o,b,b,x,b,b,b,b,x,D
o,b,b,x,b,b,b,o,x,D
o,b,b,x,b,b,x,o,x,D
o,b,b,x,b,o,x,o,x,D
o,b,b,x,x,o,x,o,x,D
o,b,o,x,x,o,x,o,x,D
o,x,o,x,x,o,x,o,x,D
b,x,b,b,b,b,b,b,b,O
b,x,b,b,b,b,b,o,b,O
x,x,b,b,b,b,b,o,b,O
x,x,b,b,b,b,o,o,b,O
x,x,b,b,x,b,o,o,b,O
x,x,b,b,x,b,o,o,o,O
b,b,b,x,b,b,b,b,b,O
b,b,b,x,o,b,b,b,b,O
b,b,b,x,o,x,b,b,b,O
b,o,b,x,o,x,b,b,b,O
b,o,b,x,o,x,x,b,b,O
b,o,b,x,o,x,x,o,b,O
b,b,b,b,b,b,x,b,b,X
o,b,b,b,b,b,x,b,b,X
o,b,b,x,b,b,x,b,b,X
o,b,b,x,b,b,x,o,b,X
o,x,b,x,b,b,x,o,b,X
o,x,o,x,b,b,x,o,b,X
o,x,o,x,b,x,x,o,b,X
o,x,o,x,b,x,x,o,o,X
o,x,o,x,x,x,x,o,o,X
b,b,b,x,b,b,b,b,b,X
b,b,o,x,b,b,b,b,b,X
b,b,o,x,x,b,b,b,b,X
b,b,o,x,x,b,b,o,b,X
b,x,o,x,x,b,b,o,b,X
b,x,o,x,x,b,o,o,b,X
x,x,o,x,x,b,o,o,b,X
x,x,o,x,x,o,o,o,b,X
x,x,o,x,x,o,o,o,x,X
b,b,b,x,b,b,b,b,b,X
o,b,b,x,b,b,b,b,b,X
o,b,b,x,x,b,b,b,b,X
o,b,b,x,x,b,o,b,b,X
o,b,x,x,x,b,o,b,b,X
o,b,x,x,x,b,o,b,o,X
o,b,x,x,x,b,o,x,o,X
o,o,x,x,x,b,o,x,o,X
o,o,x,x,x,x,o,x,o,X
b,b,x,b,b,b,b,b,b,O
b,b,x,b,b,b,b,o,b,O
b,x,x,b,b,b,b,o,b,O
o,x,x,b,b,b,b,o,b,O
o,x,x,b,x,b,b,o,b,O
o,x,x,o,x,b,b,o,b,O
o,x,x,o,x,x,b,o,b,O
o,x,x,o,x,x,o,o,b,O
b,x,b,b,b,b,b,b,b,O
b,x,b,b,b,b,b,b,o,O
b,x,b,b,b,b,b,x,o,O
b,x,b,b,b,b,o,x,o,O
b,x,b,x,b,b,o,x,o,O
b,x,o,x,b,b,o,x,o,O
x,x,o,x,b,b,o,x,o,O
x,x,o,x,o,b,o,x,o,O
b,b,b,b,b,b,x,b,b,X
b,b,b,b,b,b,x,o,b,X
x,b,b,b,b,b,x,o,b,X
x,b,b,b,b,b,x,o,o,X
x,b,b,x,b,b,x,o,o,X
x,b,b,b,b,b,b,b,b,X
x,b,b,b,b,b,o,b,b,X
x,b,b,b,b,x,o,b,b,X
x,b,o,b,b,x,o,b,b,X
x,x,o,b,b,x,o,b,b,X
x,x,o,o,b,x,o,b,b,X
x,x,o,o,b,x,o,x,b,X
x,x,o,o,b,x,o,x,o,X
x,x,o,o,x,x,o,x,o,X
b,x,b,b,b,b,b,b,b,X
b,x,b,b,o,b,b,b,b,X
b,x,x,b,o,b,b,b,b,X
b,x,x,b,o,o,b,b,b,X
b,x,x,b,o,o,x,b,b,X
b,x,x,b,o,o,x,b,o,X
x,x,x,b,o,o,x,b,o,X
b,x,b,b,b,b,b,b,b,X
b,x,b,b,o,b,b,b,b,X
b,x,x,b,o,b,b,b,b,X
b,x,x,b,o,b,b,b,o,X
b,x,x,b,o,b,b,x,o,X
b,x,x,b,o,b,o,x,o,X
x,x,x,b,o,b,o,x,o,X
b,b,b,b,b,b,b,b,x,X
b,b,o,b,b,b,b,b,x,X
b,b,o,b,x,b,b,b,x,X
b,b,o,b,x,o,b,b,x,X
b,b,o,b,x,o,b,x,x,X
b,b,o,o,x,o,b,x,x,X
x,b,o,o,x,o,b,x,x,X
b,b,b,b,x,b,b,b,b,X
b,b,b,b,x,b,b,b,o,X
b,b,b,b,x,b,b,x,o,X
b,b,b,b,x,b,o,x,o,X
b,b,x,b,x,b,o,x,o,X
b,b,x,b,x,o,o,x,o,X
b,x,x,b,x,o,o,x,o,X
b,b,b,b,b,b,x,b,b,O
b,b,b,b,o,b,x,b,b,O
b,b,b,b,o,b,x,x,b,O
o,b,b,b,o,b,x,x,b,O
o,b,b,b,o,x,x,x,b,O
o,b,b,b,o,x,x,x,o,O
b,b,b,b,b,x,b,b,b,X
b,b,o,b,b,x,b,b,b,X
x,b,o,b,b,x,b,b,b,X
x,b,o,b,b,x,o,b,b,X
x,b,o,b,x,x,o,b,b,X
x,b,o,o,x,x,o,b,b,X
x,b,o,o,x,x,o,x,b,X
x,b,o,o,x,x,o,x,o,X
x,x,o,o,x,x,o,x,o,X
b,b,b,b,b,b,b,x,b,O
o,b,b,b,b,b,b,x,b,O
o,b,b,b,b,b,b,x,x,O
o,b,b,b,b,b,o,x,x,O
o,b,b,b,b,x,o,x,x,O
o,b,o,b,b,x,o,x,x,O
o,b,o,b,x,x,o,x,x,O
o,b,o,o,x,x,o,x,x,O
b,b,b,b,b,x,b,b,b,X
b,b,b,b,o,x,b,b,b,X
b,b,b,x,o,x,b,b,b,X
b,b,b,x,o,x,b,o,b,X
b,b,b,x,o,x,x,o,b,X
b,b,o,x,o,x,x,o,b,X
x,b,o,x,o,x,x,o,b,X
b,b,b,b,x,b,b,b,b,O
b,b,b,b,x,o,b,b,b,O
x,b,b,b,x,o,b,b,b,O
x,b,b,b,x,o,b,b,o,O
x,b,b,x,x,o,b,b,o,O
x,b,b,x,x,o,b,o,o,O
x,b,x,x,x,o,b,o,o,O
x,b,x,x,x,o,o,o,o,O
b,b,b,b,x,b,b,b,b,O
b,b,b,b,x,b,b,b,o,O
x,b,b,b,x,b,b,b,o,O
x,b,o,b,x,b,b,b,o,O
x,b,o,x,x,b,b,b,o,O
x,b,o,x,x,b,o,b,o,O
x,x,o,x,x,b,o,b,o,O
x,x,o,x,x,o,o,b,o,O
b,b,b,b,b,x,b,b,b,X
b,b,b,o,b,x,b,b,b,X
b,b,b,o,b,x,b,x,b,X
b,b,b,o,b,x,o,x,b,X
b,b,b,o,b,x,o,x,x,X
b,b,o,o,b,x,o,x,x,X
x,b,o,o,b,x,o,x,x,X
x,o,o,o,b,x,o,x,x,X
x,o,o,o,x,x,o,x,x,X
b,b,b,b,b,b,b,b,x,X
b,b,b,b,b,b,b,o,x,X
b,b,b,b,x,b,b,o,x,X
b,b,b,b,x,b,o,o,x,X
x,b,b,b,x,b,o,o,x,X
b,b,b,b,b,b,b,b,x,X
b,b,b,b,b,o,b,b,x,X
b,b,b,b,b,o,b,x,x,X
o,b,b,b,b,o,b,x,x,X
o,x,b,b,b,o,b,x,x,X
o,x,o,b,b,o,b,x,x,X
o,x,o,x,b,o,b,x,x,X
o,x,o,x,b,o,o,x,x,X
o,x,o,x,x,o,o,x,x,X
x,b,b,b,b,b,b,b,b,X
x,b,b,b,b,b,o,b,b,X
x,b,b,b,x,b,o,b,b,X
x,b,b,o,x,b,o,b,b,X
x,b,b,o,x,b,o,b,x,X
b,b,b,b,b,b,b,x,b,D
b,o,b,b,b,b,b,x,b,D
b,o,b,b,b,b,b,x,x,D
b,o,b,b,b,b,o,x,x,D
b,o,x,b,b,b,o,x,x,D
b,o,x,b,b,o,o,x,x,D
x,o,x,b,b,o,o,x,x,D
x,o,x,b,o,o,o,x,x,D
x,o,x,x,o,o,o,x,x,D
b,b,b,b,b,x,b,b,b,O
b,b,b,b,b,x,o,b,b,O
b,b,x,b,b,x,o,b,b,O
o,b,x,b,b,x,o,b,b,O
o,x,x,b,b,x,o,b,b,O
o,x,x,o,b,x,o,b,b,O
b,b,b,b,b,b,x,b,b,O
b,b,b,b,o,b,x,b,b,O
b,b,x,b,o,b,x,b,b,O
b,b,x,b,o,o,x,b,b,O
b,x,x,b,o,o,x,b,b,O
b,x,x,o,o,o,x,b,b,O
b,b,b,b,x,b,b,b,b,X
b,b,b,b,x,o,b,b,b,X
b,b,b,b,x,o,x,b,b,X
b,o,b,b,x,o,x,b,b,X
b,o,x,b,x,o,x,b,b,X
b,b,b,b,x,b,b,b,b,X
b,b,b,b,x,b,o,b,b,X
b,b,b,x,x,b,o,b,b,X
b,b,b,x,x,b,o,o,b,X
b,b,b,x,x,x,o,o,b,X
b,b,x,b,b,b,b,b,b,O
b,o,x,b,b,b,b,b,b,O
b,o,x,b,b,b,b,x,b,O
b,o,x,b,b,o,b,x,b,O
x,o,x,b,b,o,b,x,b,O
x,o,x,o,b,o,b,x,b,O
x,o,x,o,b,o,x,x,b,O
x,o,x,o,o,o,x,x,b,O
x,b,b,b,b,b,b,b,b,O
x,b,b,b,b,b,b,o,b,O
x,b,b,b,b,x,b,o,b,O
x,b,b,o,b,x,b,o,b,O
x,b,b,o,x,x,b,o,b,O
x,b,b,o,x,x,b,o,o,O
x,b,x,o,x,x,b,o,o,O
x,b,x,o,x,x,o,o,o,O
b,b,b,b,x,b,b,b,b,X
b,b,b,b,x,b,b,o,b,X
x,b,b,b,x,b,b,o,b,X
x,o,b,b,x,b,b,o,b,X
x,o,b,b,x,b,x,o,b,X
x,o,b,b,x,o,x,o,b,X
x,o,x,b,x,o,x,o,b,X
b,b,b,b,x,b,b,b,b,X
o,b,b,b,x,b,b,b,b,X
o,b,b,b,x,b,x,b,b,X
o,b,b,b,x,b,x,o,b,X
o,b,b,b,x,b,x,o,x,X
o,o,b,b,x,b,x,o,x,X
o,o,b,b,x,x,x,o,x,X
o,o,b,o,x,x,x,o,x,X
o,o,x,o,x,x,x,o,x,X
b,x,b,b,b,b,b,b,b,X
b,x,b,b,b,b,b,o,b,X
b,x,x,b,b,b,b,o,b,X
b,x,x,b,b,o,b,o,b,X
b,x,x,x,b,o,b,o,b,X
b,x,x,x,o,o,b,o,b,X
x,x,x,x,o,o,b,o,b,X
x,b,b,b,b,b,b,b,b,X
x,b,o,b,b,b,b,b,b,X
x,b,o,b,b,b,b,b,x,X
x,b,o,b,o,b,b,b,x,X
x,b,o,b,o,b,b,x,x,X
x,b,o,o,o,b,b,x,x,X
x,b,o,o,o,b,x,x,x,X
b,b,b,b,b,b,x,b,b,X
b,b,b,b,b,o,x,b,b,X
b,b,b,b,x,o,x,b,b,X
b,b,o,b,x,o,x,b,b,X
b,x,o,b,x,o,x,b,b,X
b,x,o,o,x,o,x,b,b,X
b,x,o,o,x,o,x,x,b,X
b,b,b,b,b,b,x,b,b,X
o,b,b,b,b,b,x,b,b,X
o,b,b,b,b,x,x,b,b,X
o,b,b,o,b,x,x,b,b,X
o,b,b,o,b,x,x,x,b,X
o,b,o,o,b,x,x,x,b,X
o,b,o,o,b,x,x,x,x,X
b,b,b,b,b,x,b,b,b,X
b,b,b,b,o,x,b,b,b,X
x,b,b,b,o,x,b,b,b,X
x,b,b,b,o,x,b,b,o,X
x,b,x,b,o,x,b,b,o,X
x,b,x,o,o,x,b,b,o,X
x,b,x,o,o,x,x,b,o,X
x,b,x,o,o,x,x,o,o,X
x,x,x,o,o,x,x,o,o,X
b,b,b,x,b,b,b,b,b,D
b,b,b,x,b,o,b,b,b,D
b,b,b,x,b,o,x,b,b,D
b,b,b,x,b,o,x,o,b,D
b,x,b,x,b,o,x,o,b,D
o,x,b,x,b,o,x,o,b,D
o,x,b,x,b,o,x,o,x,D
o,x,o,x,b,o,x,o,x,D
o,x,o,x,x,o,x,o,x,D
b,b,b,b,x,b,b,b,b,X
b,b,b,b,x,b,b,b,o,X
b,b,b,x,x,b,b,b,o,X
b,b,o,x,x,b,b,b,o,X
b,b,o,x,x,x,b,b,o,X
x,b,b,b,b,b,b,b,b,X
x,b,b,b,b,b,b,b,o,X
x,x,b,b,b,b,b,b,o,X
x,x,b,b,b,o,b,b,o,X
x,x,b,b,x,o,b,b,o,X
x,x,b,o,x,o,b,b,o,X
x,x,b,o,x,o,x,b,o,X
x,x,b,o,x,o,x,o,o,X
x,x,x,o,x,o,x,o,o,X
b,b,b,b,x,b,b,b,b,X
b,b,b,o,x,b,b,b,b,X
b,b,b,o,x,b,b,b,x,X
b,b,b,o,x,b,b,o,x,X
b,x,b,o,x,b,b,o,x,X
b,x,b,o,x,o,b,o,x,X
b,x,b,o,x,o,x,o,x,X
b,x,o,o,x,o,x,o,x,X
x,x,o,o,x,o,x,o,x,X
b,b,b,x,b,b,b,b,b,O
b,b,b,x,b,b,o,b,b,O
b,b,b,x,b,x,o,b,b,O
b,b,b,x,o,x,o,b,b,O
x,b,b,x,o,x,o,b,b,O
x,b,b,x,o,x,o,b,o,O
x,x,b,x,o,x,o,b,o,O
x,x,b,x,o,x,o,o,o,O
b,b,b,b,b,b,x,b,b,X
b,b,b,o,b,b,x,b,b,X
b,b,b,o,b,b,x,b,x,X
b,b,b,o,b,o,x,b,x,X
b,b,b,o,b,o,x,x,x,X
b,b,b,b,x,b,b,b,b,X
o,b,b,b,x,b,b,b,b,X
o,x,b,b,x,b,b,b,b,X
o,x,b,b,x,o,b,b,b,X
o,x,x,b,x,o,b,b,b,X
o,x,x,o,x,o,b,b,b,X
o,x,x,o,x,o,x,b,b,X
b,b,b,b,b,x,b,b,b,X
b,b,b,o,b,x,b,b,b,X
b,b,b,o,x,x,b,b,b,X
b,b,b,o,x,x,o,b,b,X
b,b,b,o,x,x,o,b,x,X
b,b,o,o,x,x,o,b,x,X
b,x,o,o,x,x,o,b,x,X
b,x,o,o,x,x,o,o,x,X
x,x,o,o,x,x,o,o,x,X
b,b,b,b,b,b,x,b,b,D
o,b,b,b,b,b,x,b,b,D
o,b,b,b,b,b,x,b,x,D
o,b,o,b,b,b,x,b,x,D
o,b,o,b,x,b,x,b,x,D
o,b,o,o,x,b,x,b,x,D
o,b,o,o,x,x,x,b,x,D
o,b,o,o,x,x,x,o,x,D
o,x,o,o,x,x,x,o,x,D
b,b,b,b,b,b,b,x,b,O
b,b,b,b,b,b,o,x,b,O
b,x,b,b,b,b,o,x,b,O
b,x,b,b,o,b,o,x,b,O
b,x,b,b,o,b,o,x,x,O
b,x,b,o,o,b,o,x,x,O
b,x,x,o,o,b,o,x,x,O
o,x,x,o,o,b,o,x,x,O
b,b,b,b,b,b,b,b,x,D
b,b,o,b,b,b,b,b,x,D
b,b,o,b,b,b,x,b,x,D
o,b,o,b,b,b,x,b,x,D
o,b,o,b,x,b,x,b,x,D
o,b,o,b,x,o,x,b,x,D
o,b,o,x,x,o,x,b,x,D
o,b,o,x,x,o,x,o,x,D
o,x,o,x,x,o,x,o,x,D
b,b,b,x,b,b,b,b,b,X
b,o,b,x,b,b,b,b,b,X
b,o,b,x,b,b,x,b,b,X
b,o,b,x,o,b,x,b,b,X
b,o,b,x,o,b,x,x,b,X
o,o,b,x,o,b,x,x,b,X
o,o,b,x,o,b,x,x,x,X
b,b,b,b,b,b,b,x,b,O
b,b,b,b,b,o,b,x,b,O
b,x,b,b,b,o,b,x,b,O
b,x,o,b,b,o,b,x,b,O
x,x,o,b,b,o,b,x,b,O
x,x,o,o,b,o,b,x,b,O
x,x,o,o,b,o,x,x,b,O
x,x,o,o,o,o,x,x,b,O
x,b,b,b,b,b,b,b,b,X
x,o,b,b,b,b,b,b,b,X
x,o,x,b,b,b,b,b,b,X
x,o,x,b,b,b,o,b,b,X
x,o,x,b,b,b,o,b,x,X
x,o,x,b,b,b,o,o,x,X
x,o,x,b,b,x,o,o,x,X
b,b,b,b,x,b,b,b,b,D
b,b,o,b,x,b,b,b,b,D
x,b,o,b,x,b,b,b,b,D
x,o,o,b,x,b,b,b,b,D
x,o,o,b,x,x,b,b,b,D
x,o,o,o,x,x,b,b,b,D
x,o,o,o,x,x,b,x,b,D
x,o,o,o,x,x,b,x,o,D
x,o,o,o,x,x,x,x,o,D
b,x,b,b,b,b,b,b,b,X
o,x,b,b,b,b,b,b,b,X
o,x,b,x,b,b,b,b,b,X
o,x,b,x,b,b,b,b,o,X
o,x,b,x,x,b,b,b,o,X
o,x,o,x,x,b,b,b,o,X
o,x,o,x,x,x,b,b,o,X
x,b,b,b,b,b,b,b,b,X
x,b,b,b,b,o,b,b,b,X
x,x,b,b,b,o,b,b,b,X
x,x,b,b,o,o,b,b,b,X
x,x,x,b,o,o,b,b,b,X
b,b,b,b,b,b,b,b,x,X
b,b,b,b,b,b,b,o,x,X
b,b,x,b,b,b,b,o,x,X
o,b,x,b,b,b,b,o,x,X
o,x,x,b,b,b,b,o,x,X
o,x,x,o,b,b,b,o,x,X
o,x,x,o,b,x,b,o,x,X
b,b,b,x,b,b,b,b,b,X
b,b,o,x,b,b,b,b,b,X
b,x,o,x,b,b,b,b,b,X
b,x,o,x,b,b,b,o,b,X
b,x,o,x,b,x,b,o,b,X
b,x,o,x,b,x,b,o,o,X
b,x,o,x,b,x,x,o,o,X
b,x,o,x,o,x,x,o,o,X
x,x,o,x,o,x,x,o,o,X
b,b,b,b,b,b,x,b,b,X
b,b,b,b,b,b,x,b,o,X
b,x,b,b,b,b,x,b,o,X
o,x,b,b,b,b,x,b,o,X
o,x,x,b,b,b,x,b,o,X
o,x,x,b,b,o,x,b,o,X
o,x,x,b,x,o,x,b,o,X
b,b,b,b,b,x,b,b,b,D
b,b,b,b,o,x,b,b,b,D
x,b,b,b,o,x,b,b,b,D
x,b,b,b,o,x,b,o,b,D
x,b,b,b,o,x,b,o,x,D
x,b,o,b,o,x,b,o,x,D
x,x,o,b,o,x,b,o,x,D
x,x,o,o,o,x,b,o,x,D
x,x,o,o,o,x,x,o,x,D
b,b,x,b,b,b,b,b,b,X
b,b,x,o,b,b,b,b,b,X
x,b,x,o,b,b,b,b,b,X
x,b,x,o,b,b,o,b,b,X
x,b,x,o,b,b,o,x,b,X
x,b,x,o,b,b,o,x,o,X
x,x,x,o,b,b,o,x,o,X
b,b,b,b,x,b,b,b,b,X
b,b,b,b,x,b,b,b,o,X
b,b,b,b,x,b,x,b,o,X
b,o,b,b,x,b,x,b,o,X
b,o,b,b,x,x,x,b,o,X
b,o,o,b,x,x,x,b,o,X
x,o,o,b,x,x,x,b,o,X
x,o,o,b,x,x,x,o,o,X
x,o,o,x,x,x,x,o,o,X
b,b,b,b,b,b,b,x,b,O
b,b,b,b,b,o,b,x,b,O
x,b,b,b,b,o,b,x,b,O
x,b,b,b,o,o,b,x,b,O
x,b,x,b,o,o,b,x,b,O
x,b,x,o,o,o,b,x,b,O
b,b,b,b,b,b,x,b,b,O
b,o,b,b,b,b,x,b,b,O
b,o,b,b,b,b,x,x,b,O
b,o,o,b,b,b,x,x,b,O
b,o,o,b,b,x,x,x,b,O
o,o,o,b,b,x,x,x,b,O
b,b,b,b,b,b,b,b,x,D
b,b,b,b,b,b,b,o,x,D
b,x,b,b,b,b,b,o,x,D
b,x,o,b,b,b,b,o,x,D
b,x,o,b,x,b,b,o,x,D
o,x,o,b,x,b,b,o,x,D
o,x,o,b,x,b,x,o,x,D
o,x,o,b,x,o,x,o,x,D
o,x,o,x,x,o,x,o,x,D
b,b,b,x,b,b,b,b,b,D
b,b,b,x,b,o,b,b,b,D
b,b,b,x,b,o,b,x,b,D
b,b,b,x,b,o,o,x,b,D
x,b,b,x,b,o,o,x,b,D
x,o,b,x,b,o,o,x,b,D
x,o,b,x,x,o,o,x,b,D
x,o,b,x,x,o,o,x,o,D
x,o,x,x,x,o,o,x,o,D
b,b,b,b,b,b,b,x,b,X
b,o,b,b,b,b,b,x,b,X
b,o,b,b,b,b,b,x,x,X
b,o,b,o,b,b,b,x,x,X
b,o,b,o,x,b,b,x,x,X
b,o,o,o,x,b,b,x,x,X
x,o,o,o,x,b,b,x,x,X
b,b,b,b,b,b,b,b,x,X
b,b,b,b,o,b,b,b,x,X
b,b,b,b,o,b,b,x,x,X
b,b,b,b,o,o,b,x,x,X
b,b,b,b,o,o,x,x,x,X
b,b,b,b,b,x,b,b,b,O
b,b,b,b,b,x,b,o,b,O
b,b,b,b,x,x,b,o,b,O
b,b,b,b,x,x,o,o,b,O
b,x,b,b,x,x,o,o,b,O
b,x,b,o,x,x,o,o,b,O
b,x,x,o,x,x,o,o,b,O
o,x,x,o,x,x,o,o,b,O
b,x,b,b,b,b,b,b,b,D
o,x,b,b,b,b,b,b,b,D
o,x,b,x,b,b,b,b,b,D
o,x,b,x,b,o,b,b,b,D
o,x,x,x,b,o,b,b,b,D
o,x,x,x,b,o,b,o,b,D
o,x,x,x,b,o,b,o,x,D
o,x,x,x,o,o,b,o,x,D
o,x,x,x,o,o,x,o,x,D
x,b,b,b,b,b,b,b,b,X
x,b,b,b,b,b,b,b,o,X
x,b,b,b,b,b,x,b,o,X
x,b,b,b,b,b,x,o,o,X
x,x,b,b,b,b,x,o,o,X
x,x,b,o,b,b,x,o,o,X
x,x,x,o,b,b,x,o,o,X
b,b,b,b,b,b,b,b,x,O
b,b,b,b,o,b,b,b,x,O
b,x,b,b,o,b,b,b,x,O
b,x,b,o,o,b,b,b,x,O
b,x,b,o,o,b,b,x,x,O
b,x,b,o,o,b,o,x,x,O
x,x,b,o,o,b,o,x,x,O
x,x,o,o,o,b,o,x,x,O
x,b,b,b,b,b,b,b,b,X
x,b,b,o,b,b,b,b,b,X
x,b,b,o,b,x,b,b,b,X
x,b,o,o,b,x,b,b,b,X
x,x,o,o,b,x,b,b,b,X
x,x,o,o,b,x,o,b,b,X
x,x,o,o,b,x,o,b,x,X
x,x,o,o,b,x,o,o,x,X
x,x,o,o,x,x,o,o,x,X
b,b,b,b,b,b,b,x,b,O
b,b,o,b,b,b,b,x,b,O
b,x,o,b,b,b,b,x,b,O
b,x,o,b,b,b,o,x,b,O
b,x,o,b,b,x,o,x,b,O
b,x,o,b,b,x,o,x,o,O
x,x,o,b,b,x,o,x,o,O
x,x,o,b,o,x,o,x,o,O
b,x,b,b,b,b,b,b,b,X
b,x,b,b,b,b,b,o,b,X
b,x,x,b,b,b,b,o,b,X
b,x,x,b,o,b,b,o,b,X
b,x,x,x,o,b,b,o,b,X
b,x,x,x,o,b,b,o,o,X
x,x,x,x,o,b,b,o,o,X
b,b,b,b,b,b,b,b,x,X
b,b,b,b,o,b,b,b,x,X
b,b,b,b,o,b,b,x,x,X
b,b,b,b,o,o,b,x,x,X
b,b,x,b,o,o,b,x,x,X
b,o,x,b,o,o,b,x,x,X
b,o,x,b,o,o,x,x,x,X
b,b,x,b,b,b,b,b,b,X
b,b,x,b,b,o,b,b,b,X
b,b,x,b,b,o,x,b,b,X
b,b,x,b,b,o,x,b,o,X
x,b,x,b,b,o,x,b,o,X
x,o,x,b,b,o,x,b,o,X
x,o,x,b,b,o,x,x,o,X
